,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,업종
76,현대엘리베이터,17800,8.481163417539019,9.122784648731352,9.063685366340588,7.740324594257178,일반 목적용 기계 제조업
77,현대차증권,1500,0.9606258448618022,1.0431026560058818,1.4230963916407549,1.340866132687267,금융 지원 서비스업
78,현대홈쇼핑,57050,53.251168720781976,10.081694945686328,11.581391195642466,10.230320969383037,무점포 소매업
79,호전실업,111110,6.9361506660542025,4.665226781857451,7.813765182186232,1.7134524243528984,봉제의복 제조업
80,EDGC,245620,-108.0,-15.59633027522936,-15.495495495495494,-6.462035541195476,자연과학 및 공학 연구개발업
81,GST,83450,28.961038961038962,12.107101280558787,21.491658488714428,16.814159292035402,특수 목적용 기계 제조업
82,GS홈쇼핑,28150,36.883320281910734,34.79145473041709,27.883951185816255,23.725910064239827,텔레비전 방송업
83,IBKS제13호스팩,351340,,,,,금융 지원 서비스업
84,ITX-AI,99520,1.5267175572519085,-21.556886227544908,-14.948453608247426,-6.2200956937799035,영상 및 음향기기 제조업
85,JW신약,67290,-2.92772186642269,0.6072874493927125,1.1956521739130437,2.4742268041237114,의약품 제조업
86,KB오토시스,24120,13.199426111908178,11.35303265940902,9.570459683496608,1.4760147601476017,자동차 신품 부품 제조업
87,KH바텍,60720,-12.391817466561765,-2.62954369682908,2.697495183044316,1.561415683553088,전자부품 제조업
88,SK5호스팩,337450,,,,,금융 지원 서비스업
89,SK6호스팩,340350,,,,0.0,금융 지원 서비스업
90,YW,51390,6.9767441860465125,5.238095238095238,5.081669691470053,4.841402337228715,상품 종합 도매업
91,경남제약헬스케어,223310,-68.42105263157895,-37.857142857142854,1.1904761904761905,-15.028901734104045,소프트웨어 개발 및 공급업
92,경창산업,24910,-2.368207623682076,2.7062489749056917,-2.8826095201972315,0.22217733791153305,자동차 신품 부품 제조업
93,고려시멘트,198440,3.636363636363636,3.1286210892236386,-0.5681818181818182,2.2857142857142856,"시멘트, 석회, 플라스터 및 그 제품 제조업"
94,골프존,215000,30.33980582524272,20.40520984081042,12.622118014849553,16.709988860007428,소프트웨어 개발 및 공급업
95,국순당,43650,-4.962243797195254,-2.9585798816568047,-4.720692368214005,3.75,알코올음료 제조업
96,그리티,204020,18.949343339587237,15.122873345935727,4.715447154471545,5.4145516074450075,봉제의복 제조업
97,나노브릭,286750,-13.698630136986301,-7.975460122699388,-8.47457627118644,-1.1428571428571428,기초 화학물질 제조업
98,네스엠,56000,2.9411764705882346,-37.804878048780495,-62.06896551724138,-3.7037037037037033,소프트웨어 개발 및 공급업
99,네오티스,85910,6.457925636007827,8.901515151515152,6.204379562043796,4.2471042471042475,자동차 신품 부품 제조업
100,네이처셀,7390,-1.8382352941176472,5.240174672489083,6.04026845637584,-16.33986928104575,기초 의약물질 및 생물학적 제제 제조업
101,녹십자셀,31390,5.594405594405594,5.07343124165554,5.372290292177192,0.8474576271186439,기초 의약물질 및 생물학적 제제 제조업
102,뉴인텍,12340,-3.9800995024875614,-7.672634271099745,0.7281553398058253,0.6637168141592921,전자부품 제조업
103,뉴프렉스,85670,6.327985739750446,7.91044776119403,-7.782101167315174,-4.262753319357094,전자부품 제조업
104,대봉엘에스,78140,17.466410748560463,14.389799635701275,11.455108359133126,11.325966850828731,의약품 제조업
105,대신밸런스제9호스팩,369370,,,,,금융 지원 서비스업
106,대유,290380,35.384615384615394,33.175355450236964,21.90082644628099,17.05263157894737,"비료, 농약 및 살균, 살충제 제조업"
107,대유에이피,290120,12.0,17.275747508305646,11.744186046511626,7.99347471451876,자동차 신품 부품 제조업
108,대주산업,3310,5.0,4.1062801932367154,3.3707865168539324,3.870967741935484,동물용 사료 및 조제식품 제조업
109,대한약품,23910,19.86469864698647,19.63123644251627,18.19166215484569,13.183098591549296,의약품 제조업
