,회사코드,상승율,업종
483,208140,-9.784921516331345,"도축, 육류 가공 및 저장 처리업"
484,225220,41.48660118130458,기초 의약물질 및 생물학적 제제 제조업
485,052670,-3.903096640861327,의약품 제조업
486,023440,-2.2755495549706297,1차 철강 제조업
487,041590,0.23795052864842994,실내건축 및 건축마무리 공사업
488,101730,2.6756160258244805,소프트웨어 개발 및 공급업
489,067000,18.71844632085851,소프트웨어 개발 및 공급업
490,043610,0.6466887931311022,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
491,263860,-5.505701189911719,소프트웨어 개발 및 공급업
492,208350,-7.364096821639239,소프트웨어 개발 및 공급업
