,회사코드,주가상승율
197,254120,-0.6109891292977142
198,234920,-4.487443584470542
199,174880,0.7166982722011245
200,040420,-1.2785048173495006
201,079370,-3.381863113525836
202,094970,-1.4538040594140837
203,023440,0.9912207413655499
204,080220,-0.9713015645915313
205,082270,15.45908484659209
206,034940,-0.415463489156944
207,036930,-7.693269082516693
208,119850,0.4573205675700652
209,065060,-2.3026915229927245
210,071850,-3.5487483432992772
211,042040,-0.7198022496429204
212,054410,-3.861105211157128
213,274090,0.876465240120791
214,078650,-1.6541484218269227
215,126600,-3.009136255634563
216,043590,-3.942344031168029
217,139670,12.302113624088996
218,026150,2.424996742844076
219,246710,4.7590808426787925
220,131290,19.36078775761879
221,033540,2.2125301421975774
222,037070,8.993426010700253
223,065690,-1.9473123728835322
224,225590,-1.24773301312154
