,회사코드,회사이름,corr
82,051390,YW,0.3252772637194157
83,223310,경남제약헬스케어,0.6959859110399678
84,024910,경창산업,-0.06157024598625917
85,198440,고려시멘트,0.7936630406688733
86,215000,골프존,-0.4739686941023103
87,043650,국순당,0.9736194411921317
88,204020,그리티,-0.2903391068233678
89,286750,나노브릭,0.49591177981376117
90,056000,네스엠,-0.8540389306425072
91,085910,네오티스,0.9151711458763968
92,007390,네이처셀,-0.23247817179702293
93,031390,녹십자셀,-0.49669538952461306
94,085670,뉴프렉스,-0.07087632259273996
95,078140,대봉엘에스,-0.02911325878995325
96,290380,대유,-0.1060965595397892
97,290120,대유에이피,0.21928919647884845
98,003310,대주산업,-0.057468803298618094
99,023910,대한약품,0.18411752704033332
100,006620,동구바이오제약,-0.378778172562059
101,099410,동방선기,-0.35080686629635527
102,196490,디에이테크놀로지,0.7994014711826268
103,066900,디에이피,0.6032801259277053
104,127120,디엔에이링크,0.6077050752528531
105,033130,디지틀조선,0.8923942634853328
106,060240,룽투코리아,-0.6751015543175602
107,219420,링크제니시스,0.39243915077946717
108,086900,메디톡스,-0.14319771474804413
109,021880,메이슨캐피탈,0.13625431720386236
110,327260,메탈라이프,-0.8065525501804179
111,080160,모두투어,0.8374305673306489
112,118990,모트렉스,-0.508075194009224
113,028040,미래SCI,0.9891821076470874
114,207760,미스터블루,0.9870090679515794
115,206640,바디텍메드,0.9588622443816431
116,053030,바이넥스,0.6445118097607031
117,023600,삼보판지,0.6145839917942343
118,111870,삼본전자,0.9016066615845946
119,042940,상지카일룸,-0.4117146383529149
120,100660,서암기계공업,-0.7537081522937702
121,080470,성창오토텍,0.8586569495659309
122,011560,세보엠이씨,-0.9142190888575923
123,258830,세종메디칼,-0.48502406704064
124,036630,세종텔레콤,-0.9855305499949135
125,053450,세코닉스,-0.6901652180126548
126,049180,셀루메드,0.9291111701404975
127,208370,셀바스헬스케어,-0.1256065081181248
128,068760,셀트리온제약,0.4951732777010476
129,053110,소리바다,-0.6872619794320326
130,204630,스튜디오산타클로스,-0.1572387780958311
