,업종,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,회사이름,회사코드
0,일차전지 및 축전지 제조업,22.025316455696203,19.32672076946198,16.137896577566824,11.23956326268465,한국아트라스비엑스,23890.0
0,"펄프, 종이 및 판지 제조업",9.471094710947106,-5.498721227621484,9.852941176470589,16.027397260273972,삼정펄프,9770.0
0,회사 본부 및 경영 컨설팅 서비스업,0.5519093078758951,1.225451688923802,7.82122905027933,8.758436666143462,동성코퍼레이션,102260.0
0,보험업,2.8891263992799687,1.5545844581326094,1.5422613713361455,1.80656425427695,메리츠화재,60.0
0,"그외 기타 전문, 과학 및 기술 서비스업",252.94117647058826,184.0,146.15384615384613,134.7826086956522,피엔케이피부임상연구센타,347740.0
0,음·식료품 및 담배 도매업,25.121555915721235,25.90286425902864,19.54732510288066,27.417027417027416,해마로푸드서비스,220630.0
0,광고업,23.03206997084548,36.42241379310345,55.42521994134897,51.94228634850168,에코마케팅,230360.0
0,사진장비 및 광학기기 제조업,30.576713819368877,20.07992007992008,2.922077922077922,5.706332637439108,하이비젼시스템,126700.0
0,상품 중개업,-0.5847953216374269,3.99814039981404,-4.919499105545618,9.441340782122904,이라이콤,41520.0
0,동물용 사료 및 조제식품 제조업,,,,15.362731152204836,이지바이오,353810.0
0,기타 비금속 광물제품 제조업,47.843530591775334,50.12722646310432,38.66753755715219,35.071942446043174,티씨케이,64760.0
0,"섬유, 의복, 신발 및 가죽제품 소매업",41.114058355437656,37.1144798745426,34.140870345446395,20.40302267002519,코웰패션,33290.0
0,"서적, 잡지 및 기타 인쇄물 출판업",67.5,56.63716814159292,51.633986928104584,56.886227544910184,디앤씨미디어,263720.0
0,화학섬유 제조업,45.89041095890411,-1.0309278350515465,-9.294117647058824,25.795053003533567,레몬,294140.0
0,가정용 기기 제조업,9.019812304483835,10.142786804529788,22.28001733853489,15.274463007159905,위닉스,44340.0
0,기타 전기장비 제조업,-3.6585365853658534,27.27272727272727,29.461756373937675,8.91566265060241,에이프로,262260.0
0,연료용 가스 제조 및 배관공급업,7.0025935531678405,7.158953024787658,7.260891337005508,6.098514464425333,부산도시가스,15350.0
0,"골판지, 종이 상자 및 종이용기 제조업",4.180577732617216,17.271515331062066,14.675344800867812,7.79614742909146,신대양제지,16590.0
0,합성고무 및 플라스틱 물질 제조업,15.172413793103447,18.01242236024845,16.393442622950822,11.734693877551019,한국바이오젠,318000.0
0,도로 화물 운송업,3.805774278215223,4.813863928112965,5.255878284923928,4.081632653061225,케이씨티시,9070.0
0,고무제품 제조업,1.183431952662722,11.181244364292157,19.313304721030047,11.770623742454728,동아타이어,282690.0
0,가구 제조업,-3.2258064516129035,6.88,15.495495495495494,23.11320754716981,시디즈,134790.0
0,알코올음료 제조업,36.429872495446254,28.39931153184165,29.15194346289753,23.400673400673398,진로발효,18120.0
0,일반 교습 학원,-6.60377358490566,5.8461538461538485,-2.409638554216868,26.34730538922156,메가엠디,133750.0
0,전구 및 조명장치 제조업,-0.7540394973070017,-2.1398747390396657,4.695251594613749,5.290836653386454,우리바이오,82850.0
0,"비료, 농약 및 살균, 살충제 제조업",35.384615384615394,33.175355450236964,21.90082644628099,17.05263157894737,대유,290380.0
0,그외 기타 제품 제조업,80.88235294117648,93.05555555555556,31.60919540229885,74.26470588235293,노바텍,285490.0
0,"곡물가공품, 전분 및 전분제품 제조업",5.597722960151803,4.4753086419753085,4.289940828402367,4.732927653820148,고려산업,2140.0
0,여행사 및 기타 여행보조 서비스업,4.570895522388058,6.767515923566879,8.809463881198088,4.065420560747663,레드캡투어,38390.0
0,"항공기,우주선 및 부품 제조업",9.0,8.127721335268506,14.959349593495936,12.553495007132668,쎄트렉아이,99320.0
0,"도축, 육류 가공 및 저장 처리업",17.67719897523484,7.1453713481168615,3.4907597535934287,11.053818884950047,우리손에프앤지,73560.0
