,회사이름,회사코드,옥수치19/12,옥수치20/03,옥수치20/06,옥수치20/09
94,골프존,215000,-0.07815552950371239,5.828571428571429,5.332829046898638,5.792796138135907
95,국순당,043650,-1.1801730920535012,0.1492537313432836,1.1904761904761905,2.3958333333333335
96,그리티,204020,0.975609756097561,0.45801526717557256,3.7091988130563793,0.676818950930626
97,나노브릭,286750,-0.5649717514124294,-2.247191011235955,0.5780346820809248,0.5714285714285714
98,네스엠,056000,-37.93103448275862,-6.349206349206349,-2.4390243902439024,-1.8518518518518516
99,네오티스,085910,3.102189781021898,1.9927536231884055,0.5780346820809248,1.5444015444015444
100,네이처셀,007390,8.389261744966444,-3.536977491961415,-6.101694915254238,-6.862745098039216
101,녹십자셀,031390,-0.6597549481621112,0.45998160073597055,0.25252525252525254,0.1694915254237288
102,뉴인텍,012340,-0.24271844660194172,0.23364485981308408,0.22935779816513763,0.0
103,뉴프렉스,085670,-3.3463035019455254,-3.0097817908201656,-4.118104118104118,2.166317260656883
104,대봉엘에스,078140,2.631578947368421,3.7991858887381276,4.126547455295736,3.314917127071823
105,대신밸런스제9호스팩,369370,,,,
106,대유,290380,-13.223140495867769,11.370262390670554,9.090909090909092,0.42105263157894735
107,대유에이피,290120,4.186046511627907,2.3952095808383236,2.7586206896551726,3.6704730831973897
108,대주산업,003310,1.9975031210986267,1.1583011583011582,1.3959390862944163,1.2903225806451613
109,대한약품,023910,4.168922577152139,4.751257685858022,3.575482406356413,4.788732394366197
110,동구바이오제약,006620,3.4090909090909087,2.5735294117647056,4.342723004694836,2.097902097902098
111,동방선기,099410,-1.4134275618374559,-1.0526315789473684,-0.35335689045936397,-2.5
112,디에이테크놀로지,196490,4.511278195488721,-4.878048780487805,-5.4519368723099,-6.2246278755074425
113,디에이피,066900,-0.24050024050024052,1.0372465818010372,-1.056168987037926,2.389705882352941
114,디엔에이링크,127120,-12.345679012345679,-10.884353741496598,-9.392265193370166,-9.340659340659341
115,디엔에프,092070,0.0,,,3.0944625407166124
116,디지틀조선,033130,3.7037037037037033,1.015228426395939,1.5873015873015872,5.025125628140704
117,룽투코리아,060240,-14.006514657980457,-2.3529411764705883,3.43980343980344,2.2058823529411766
118,링크제니시스,219420,20.37037037037037,-1.7543859649122806,12.727272727272727,17.142857142857142
119,메디톡스,086900,-1.4589280050745324,-3.00820419325433,-1.2260765550239234,-3.4990791896869244
120,메이슨캐피탈,021880,2.782931354359926,-20.98092643051771,-2.097902097902098,6.451612903225806
121,메탈라이프,327260,-4.72972972972973,0.6802721088435374,-1.9867549668874174,-1.639344262295082
122,모두투어,080160,-1.5364916773367476,-0.6424965580541533,-4.72801220132181,-3.9556962025316458
123,모비스,250060,-0.5154639175257731,0.0,0.0,-2.1621621621621623
124,모트렉스,118990,-0.07577671129072998,1.335240820219361,-1.071524243236003,0.7462686567164178
125,미래SCI,028040,-2.7439024390243905,-3.79746835443038,-3.79746835443038,-3.79746835443038
126,미스터블루,207760,7.580174927113703,9.006211180124224,10.81081081081081,17.78846153846154
127,미코바이오메드,214610,0.0,,0.0,
128,바디텍메드,206640,6.318681318681318,3.3707865168539324,17.084282460136674,21.899441340782122
129,바이넥스,053030,2.510460251046025,1.1963406052076002,3.7482319660537478,3.536754507628294
130,브랜드엑스코퍼레이션,337930,0.0,12.5,,5.065359477124183
